temperature_C,pressure_mTorr,power_W,flow_sccm,gas,thickness_nm,sheet_resistance_ohm
114.54419924184907,17.382254316326918,167.74619319858,50.258798591389606,O2,171.42551091397272,14.465881574251025
193.88745157004982,10.814048758746575,212.54036032387884,21.705838293689858,Ar,264.44549367137125,8.469982764161639
174.3209380028029,5.50420043633615,93.57487932882219,54.04169909287472,Ar,157.21026817919645,11.629158438820138
238.7896132339031,10.670077486938922,97.2393126513822,46.48255475399824,O2,192.31716659115037,13.855355131022842
134.12470632934915,5.912911693331331,133.0494044384077,12.679612322099473,O2,170.257651529344,10.921833955021777
164.05305490877112,3.3332322753686565,83.80092991782107,12.094026137575602,Ar,122.71962193836201,14.206672384146453
206.07649052488705,14.10179346789524,66.35625837235679,17.001488777942463,Ar,106.85020993497288,17.550824520475466
249.661902441764,6.231960776017827,116.3052977826782,23.809608090276654,O2,221.62159222527757,12.53439747343262
149.27015331356498,7.018246992671818,180.17174991506167,18.31357355515138,O2,204.78597858817068,9.025140297427763
213.21476203727704,17.813485729869427,202.23760542121488,10.43648683004499,N2,236.33628363846097,13.903785410955312
132.3578978533044,8.408925305522965,97.33295510670835,28.915617087566243,O2,134.78537189581994,14.985802651922553
221.02324601316144,9.060993533226897,211.0885906011212,20.33805742037483,N2,273.94333183716344,13.559474315966526
153.97719245315895,16.729579679004658,72.67811923779126,29.745486960257217,N2,101.59073169156159,21.291288590328538
146.5617656855611,14.641062052488222,72.52663909992174,44.823911328998726,Ar,115.1855910106251,17.00173299328956
144.47321567673754,15.751713402506947,172.86089402928923,23.123315587829094,N2,169.93736601897587,15.725263818281016
165.59767477513478,9.493707422924846,70.84845527349879,9.89424045780748,O2,117.88134719222609,13.570389763677177
159.28326312217212,5.400057179648432,215.30358303185278,47.22328474407204,Ar,239.8406000658399,9.145948869687741
201.89625077272265,3.050221064014689,103.87356964432215,31.044969810593884,O2,192.72293445474756,8.955396417259442
191.70731002874538,3.277024305218326,80.59581034281074,19.474996348193365,N2,137.06934533035684,14.326862842223148
222.4464657336363,4.191832848363017,182.95271437836163,51.62809376025441,Ar,286.22927452471265,9.742718861842134
154.24314281390602,6.309582786708312,127.59213784433533,42.55416746876152,O2,181.20013615111714,9.614301609551369
254.08305925625456,14.437983205372664,204.01206170257132,27.820086319862522,Ar,291.2208775276492,14.464917463377395
191.52241379001586,5.672416140736173,138.79336649639896,24.314815528699732,O2,205.274316728851,8.580789216793201
211.91362226142763,8.748697303523794,61.277380488260874,11.339434072278314,Ar,138.729655606038,15.888857469927856
213.23888727390283,9.33018455958783,86.13489971171558,21.42565829629052,O2,158.8166703821758,11.527380009426894
132.84466891240024,6.954975874228811,75.90168265343605,41.64398326046616,Ar,103.46468300874204,19.492388764985844
131.75366773270048,4.832174442771917,89.01591896647572,11.554839111789525,Ar,110.48411738099423,18.670479317871752
179.30657330746698,6.288492598024687,103.29090712894042,25.69446362517968,Ar,175.85588323912836,10.33140047281599
188.29003001215645,15.63767009952078,72.06054941145729,35.803862520440696,Ar,123.04150792819866,15.28197506459403
150.80671297417828,17.905156395418995,200.6280641806943,42.777956621055786,O2,221.0033190178662,8.271154940143054
137.01814204160846,7.9307879258269445,167.72684893486456,42.91265799949083,O2,183.4189686278167,10.425648453150979
185.58816307883455,9.388014540217032,131.03637302775866,21.75257022683212,Ar,164.42956263686384,11.892043615106745
208.94575226130428,7.359816858603109,203.79413044809414,23.4743925685421,Ar,271.57182562296737,9.773720587082934
144.3131680133401,7.84701927999992,157.86683941367764,15.395374812167631,Ar,165.85091909731187,12.306601366330831
142.7627346295601,12.994775911597385,169.07548502795004,42.276528534925085,Ar,184.44072228488716,11.237863694570482
253.2348588444523,13.76522102465382,174.02328987087105,20.47706947562496,O2,269.75779415836047,11.857822091045188
218.73394012463586,7.072601428964322,130.3142381457454,30.579897036037814,Ar,219.96003270703693,10.963314862473617
115.15052723879721,4.320321374489014,106.90627837626876,50.287114500153756,N2,140.4914630175425,18.758108405180916
257.24255512874487,13.32041604192732,201.88137262139733,8.302161234114443,O2,290.7891812288703,14.286267783304979
111.2744249437833,9.030255957854317,119.05381557211975,48.264592650474995,Ar,133.92314666641866,18.913457820655164
149.74428224769366,16.66072440921018,129.8870744319137,42.772895423736635,N2,138.42872513668317,16.133100662580894
247.59862273019039,8.549345745983144,104.20375224272428,38.32216191794228,O2,229.13570547277376,13.864661353483623
122.05815745847045,2.4434401117890605,148.583135176234,27.13263038464429,O2,180.68568367824594,12.018883722510315
238.2073556330492,13.618218237202347,146.1028744193809,37.32886612482746,O2,254.9285084808956,11.55291238664548
131.7016096057045,17.77251024448777,129.0774056704072,52.58405367642724,Ar,136.1837834735481,16.272865769508222
136.8861616593751,9.461789229892256,116.5245674712753,12.47829128047226,Ar,132.05437951464137,16.448261861931968
227.70102099488366,17.242390221129064,146.67889245904948,11.18528141396422,Ar,223.66075963179415,13.457770846274935
244.31360849181416,4.601435333946565,121.1292706975747,24.003360662198702,O2,253.83366235164092,12.16342137348889
179.1101489108446,5.405755008763007,184.6558382729413,12.84365815698656,O2,221.18904419677258,8.103835616135445
115.77255233033304,7.4641926684652145,84.5459536142883,51.134561806723624,N2,110.87795031681031,22.546902300661657
157.2957890318807,8.495136576722244,175.2738858862722,45.0067760645308,Ar,208.59777175537215,10.093218674314699
112.29398745386192,16.391331013900505,93.38688169446412,15.445660414549566,O2,92.82777249840083,22.518372996795804
162.37605276966522,17.560156319326147,209.1239680348062,25.56046500230098,O2,222.50209511127272,8.217259616917794
208.89650283304525,10.163395673203249,121.5986740105592,27.523390711070657,Ar,189.20597813356383,11.16336132992111
149.7824198290029,13.14790843767227,111.80482378760642,52.857876686764676,O2,168.57982582617288,12.143029989459958
207.8028257661417,12.041903593469746,204.1562126210319,23.473328396771187,Ar,267.6873705459601,9.982224821577324
249.1220294935286,15.76852407011952,67.58017487786842,30.56980048465382,O2,154.43424030426846,17.03434217408476
179.9208137876651,3.724504452451596,216.42158771190034,32.86122225194276,O2,270.6474591088991,5.172362715597743
141.06643409982996,10.986797260898665,208.5899174518242,44.7447538599282,O2,207.11521411546215,8.960354127015027
248.40713669596664,14.933270509333237,166.34058403966378,48.79809843458688,Ar,276.85959493461337,13.552820488260547
251.8784916413898,14.387633871594753,151.13613108210336,39.526401765115665,Ar,239.84920061749096,16.335826098110456
